Vector1: win 2, lose 8(1379.451935)
Vector2: win 8, lose 2(1620.548065)
Vector1: win 5, lose 5(1458.418364)
Vector2: win 5, lose 5(1541.581636)
Vector1: win 4, lose 6(1389.209074)
Vector2: win 6, lose 4(1610.790926)
Vector1: win 5, lose 5(1451.959377)
Vector2: win 5, lose 5(1548.040623)
Vector1: win 6, lose 4(1528.828391)
Vector2: win 4, lose 6(1471.171609)
Vector1: win 6, lose 4(1469.805133)
Vector2: win 4, lose 6(1530.194867)
Vector1: win 3, lose 7(1363.763720)
Vector3: win 7, lose 3(1606.041413)
Vector1: win 3, lose 7(1474.058631)
Vector3: win 7, lose 3(1495.746503)
Vector1: win 3, lose 7(1426.953459)
Vector3: win 7, lose 3(1542.851674)
Vector1: win 5, lose 5(1532.884093)
Vector3: win 5, lose 5(1436.921040)
Vector1: win 3, lose 7(1403.270638)
Vector3: win 7, lose 3(1566.534495)
Vector1: win 4, lose 6(1481.918885)
Vector3: win 6, lose 4(1487.886248)
Vector1: win 2, lose 8(1368.404996)
Vector3: win 8, lose 2(1601.400137)
Vector1: win 4, lose 6(1421.035666)
Vector3: win 6, lose 4(1548.769467)
Vector1: win 5, lose 5(1548.539813)
Vector3: win 5, lose 5(1421.265320)
Vector1: win 5, lose 5(1421.253302)
Vector3: win 5, lose 5(1548.551831)
Vector1: win 7, lose 3(1553.390182)
Vector4: win 3, lose 7(1367.863119)
Vector1: win 2, lose 8(1295.373246)
Vector4: win 8, lose 2(1625.880056)
Vector1: win 3, lose 7(1369.774273)
Vector4: win 7, lose 3(1551.479028)
Vector1: win 3, lose 7(1338.386546)
Vector4: win 7, lose 3(1582.866756)
Vector1: win 3, lose 7(1321.068702)
Vector4: win 7, lose 3(1600.184600)
Vector1: win 6, lose 4(1486.430113)
Vector4: win 4, lose 6(1434.823189)
Vector1: win 2, lose 8(1290.448613)
Vector4: win 8, lose 2(1630.804689)
Vector1: win 1, lose 9(1281.242004)
Vector4: win 9, lose 1(1640.011298)
Vector1: win 0, lose 10(1204.872335)
Vector4: win 10, lose 0(1716.380966)
Vector1: win 3, lose 7(1280.189717)
Vector4: win 7, lose 3(1641.063585)
